Id,Predicted
0,neutral
1,surprise
2,anger
3,neutral
4,anger
5,non-neutral
6,neutral
7,neutral
8,surprise
9,neutral
10,anger
11,neutral
12,neutral
13,neutral
14,joy
15,surprise
16,sadness
17,surprise
18,sadness
19,sadness
20,neutral
21,neutral
22,surprise
23,non-neutral
24,joy
25,anger
26,anger
27,joy
28,anger
29,anger
30,non-neutral
31,neutral
32,non-neutral
33,neutral
34,neutral
35,non-neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,non-neutral
44,neutral
45,surprise
46,sadness
47,non-neutral
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,neutral
59,neutral
60,non-neutral
61,joy
62,non-neutral
63,neutral
64,neutral
65,non-neutral
66,non-neutral
67,surprise
68,anger
69,joy
70,non-neutral
71,neutral
72,neutral
73,joy
74,neutral
75,anger
76,non-neutral
77,non-neutral
78,joy
79,non-neutral
80,non-neutral
81,surprise
82,neutral
83,joy
84,neutral
85,joy
86,neutral
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,anger
95,sadness
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,joy
103,surprise
104,joy
105,neutral
106,non-neutral
107,non-neutral
108,neutral
109,surprise
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,surprise
117,neutral
118,neutral
119,joy
120,surprise
121,neutral
122,anger
123,neutral
124,joy
125,joy
126,joy
127,joy
128,joy
129,neutral
130,neutral
131,neutral
132,neutral
133,non-neutral
134,surprise
135,neutral
136,anger
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,joy
143,neutral
144,surprise
145,neutral
146,neutral
147,neutral
148,surprise
149,surprise
150,neutral
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,neutral
158,neutral
159,neutral
160,non-neutral
161,surprise
162,surprise
163,joy
164,surprise
165,anger
166,non-neutral
167,neutral
168,neutral
169,non-neutral
170,surprise
171,neutral
172,neutral
173,neutral
174,non-neutral
175,non-neutral
176,neutral
177,neutral
178,neutral
179,neutral
180,surprise
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,neutral
205,non-neutral
206,neutral
207,neutral
208,neutral
209,neutral
210,surprise
211,joy
212,non-neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,non-neutral
218,neutral
219,neutral
220,joy
221,neutral
222,neutral
223,neutral
224,neutral
225,joy
226,sadness
227,neutral
228,surprise
229,neutral
230,non-neutral
231,neutral
232,neutral
233,joy
234,neutral
235,surprise
236,neutral
237,non-neutral
238,non-neutral
239,non-neutral
240,neutral
241,surprise
242,joy
243,neutral
244,non-neutral
245,neutral
246,non-neutral
247,neutral
248,sadness
249,joy
250,joy
251,joy
252,joy
253,neutral
254,surprise
255,anger
256,neutral
257,neutral
258,neutral
259,non-neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,anger
266,anger
267,surprise
268,neutral
269,anger
270,neutral
271,non-neutral
272,non-neutral
273,neutral
274,non-neutral
275,neutral
276,non-neutral
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,neutral
288,joy
289,joy
290,joy
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,neutral
297,sadness
298,neutral
299,neutral
300,neutral
301,neutral
302,neutral
303,neutral
304,neutral
305,surprise
306,non-neutral
307,non-neutral
308,non-neutral
309,neutral
310,neutral
311,anger
312,sadness
313,neutral
314,neutral
315,neutral
316,non-neutral
317,neutral
318,surprise
319,neutral
320,neutral
321,non-neutral
322,non-neutral
323,neutral
324,non-neutral
325,non-neutral
326,anger
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,non-neutral
333,non-neutral
334,neutral
335,neutral
336,neutral
337,neutral
338,neutral
339,neutral
340,non-neutral
341,surprise
342,neutral
343,surprise
344,joy
345,joy
346,joy
347,neutral
348,neutral
349,non-neutral
350,neutral
351,neutral
352,neutral
353,surprise
354,neutral
355,neutral
356,non-neutral
357,surprise
358,non-neutral
359,neutral
360,neutral
361,surprise
362,neutral
363,joy
364,neutral
365,neutral
366,surprise
367,neutral
368,neutral
369,neutral
370,neutral
371,non-neutral
372,joy
373,neutral
374,neutral
375,neutral
376,joy
377,non-neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,joy
384,joy
385,neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,non-neutral
393,non-neutral
394,neutral
395,surprise
396,neutral
397,neutral
398,non-neutral
399,surprise
400,non-neutral
401,joy
402,anger
403,anger
404,non-neutral
405,non-neutral
406,anger
407,non-neutral
408,non-neutral
409,anger
410,anger
411,non-neutral
412,joy
413,non-neutral
414,neutral
415,neutral
416,sadness
417,sadness
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,surprise
424,neutral
425,neutral
426,joy
427,neutral
428,disgust
429,neutral
430,neutral
431,neutral
432,neutral
433,surprise
434,surprise
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,non-neutral
443,surprise
444,anger
445,joy
446,anger
447,neutral
448,neutral
449,joy
450,neutral
451,neutral
452,neutral
453,neutral
454,sadness
455,neutral
456,neutral
457,neutral
458,neutral
459,joy
460,joy
461,anger
462,neutral
463,neutral
464,joy
465,non-neutral
466,neutral
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,surprise
473,non-neutral
474,neutral
475,non-neutral
476,non-neutral
477,joy
478,anger
479,neutral
480,surprise
481,surprise
482,neutral
483,non-neutral
484,joy
485,neutral
486,neutral
487,neutral
488,neutral
489,neutral
490,neutral
491,non-neutral
492,surprise
493,anger
494,non-neutral
495,non-neutral
496,non-neutral
497,non-neutral
498,joy
499,neutral
500,neutral
501,neutral
502,joy
503,neutral
504,neutral
505,surprise
506,non-neutral
507,neutral
508,neutral
509,neutral
510,joy
511,neutral
512,neutral
513,neutral
514,neutral
515,surprise
516,neutral
517,joy
518,surprise
519,neutral
520,neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,anger
527,neutral
528,neutral
529,neutral
530,neutral
531,neutral
532,neutral
533,neutral
534,joy
535,joy
536,neutral
537,neutral
538,non-neutral
539,neutral
540,surprise
541,non-neutral
542,neutral
543,neutral
544,neutral
545,neutral
546,neutral
547,joy
548,neutral
549,joy
550,neutral
551,neutral
552,joy
553,joy
554,joy
555,anger
556,non-neutral
557,neutral
558,non-neutral
559,neutral
560,non-neutral
561,neutral
562,surprise
563,non-neutral
564,non-neutral
565,non-neutral
566,joy
567,surprise
568,neutral
569,joy
570,neutral
571,neutral
572,neutral
573,joy
574,surprise
575,neutral
576,surprise
577,neutral
578,surprise
579,surprise
580,neutral
581,joy
582,joy
583,joy
584,neutral
585,sadness
586,surprise
587,neutral
588,neutral
589,neutral
590,surprise
591,surprise
592,non-neutral
593,surprise
594,non-neutral
595,joy
596,surprise
597,joy
598,anger
599,anger
600,neutral
601,non-neutral
